iter	Passed	Remaining
442	2019	259
443	2023	255
444	2027	250
445	2031	245
446	2034	241
447	2038	236
448	2042	231
449	2047	227
450	2050	222
451	2054	218
452	2058	213
453	2062	208
454	2066	204
455	2070	199
456	2075	195
457	2080	190
458	2084	186
459	2088	181
460	2092	177
461	2096	172
462	2100	167
463	2103	163
464	2107	158
465	2111	154
466	2115	149
467	2119	144
468	2124	140
469	2128	135
470	2132	131
471	2135	126
472	2140	122
473	2144	117
474	2149	113
475	2154	108
476	2158	104
477	2162	99
478	2166	94
479	2171	90
480	2175	85
481	2179	81
482	2182	76
483	2186	72
484	2190	67
485	2194	63
486	2197	58
487	2201	54
488	2205	49
489	2209	45
490	2212	40
491	2216	36
492	2220	31
493	2224	27
494	2227	22
495	2231	17
496	2235	13
497	2239	8
498	2243	4
499	2246	0
